batch_id,equipment_id,tag_name,value,uom,timestamp
BATCH-2001,UF-SKID-01,COND,1.84,mS/cm,2026-08-02T06:10:00+00:00
BATCH-2001,UF-SKID-01,TMP,17.19,psi,2026-08-02T06:15:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,59.19,LMH,2026-08-02T06:15:00+00:00
BATCH-2001,UF-SKID-01,COND,2.04,mS/cm,2026-08-02T06:15:00+00:00
BATCH-2001,UF-SKID-01,TMP,18.61,psi,2026-08-02T06:20:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,58.72,LMH,2026-08-02T06:20:00+00:00
BATCH-2001,UF-SKID-01,COND,2.01,mS/cm,2026-08-02T06:20:00+00:00
BATCH-2001,UF-SKID-01,TMP,18.95,psi,2026-08-02T06:25:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,57.31,LMH,2026-08-02T06:25:00+00:00
BATCH-2001,UF-SKID-01,COND,2.02,mS/cm,2026-08-02T06:25:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,58,C,2026-08-02T08:00:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,63,C,2026-08-02T08:03:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,70,C,2026-08-02T08:06:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,74,C,2026-08-02T08:09:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,76,C,2026-08-02T08:12:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,75,C,2026-08-02T08:15:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,73,C,2026-08-02T08:18:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,71,C,2026-08-02T08:21:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,68,C,2026-08-02T08:24:00+00:00
BATCH-2001,UF-SKID-01,CIP_TEMP,60,C,2026-08-02T08:27:00+00:00
BATCH-2002,UF-SKID-01,TMP,18.66,psi,2026-08-03T06:00:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,54.07,LMH,2026-08-03T06:00:00+00:00
BATCH-2002,UF-SKID-01,COND,2.14,mS/cm,2026-08-03T06:00:00+00:00
BATCH-2002,UF-SKID-01,TMP,18.15,psi,2026-08-03T06:05:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,54.42,LMH,2026-08-03T06:05:00+00:00
BATCH-2002,UF-SKID-01,COND,1.82,mS/cm,2026-08-03T06:05:00+00:00
BATCH-2002,UF-SKID-01,TMP,17.46,psi,2026-08-03T06:10:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,52.76,LMH,2026-08-03T06:10:00+00:00
BATCH-2002,UF-SKID-01,COND,1.83,mS/cm,2026-08-03T06:10:00+00:00
BATCH-2002,UF-SKID-01,TMP,17.47,psi,2026-08-03T06:15:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,52.0,LMH,2026-08-03T06:15:00+00:00
BATCH-2002,UF-SKID-01,COND,1.91,mS/cm,2026-08-03T06:15:00+00:00
BATCH-2002,UF-SKID-01,TMP,18.27,psi,2026-08-03T06:20:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,53.06,LMH,2026-08-03T06:20:00+00:00
BATCH-2002,UF-SKID-01,COND,1.95,mS/cm,2026-08-03T06:20:00+00:00
BATCH-2002,UF-SKID-01,TMP,17.42,psi,2026-08-03T06:25:00+00:00
BATCH-2002,UF-SKID-01,PERMEATE_FLUX,52.67,LMH,2026-08-03T06:25:00+00:00
BATCH-2002,UF-SKID-01,COND,2.17,mS/cm,2026-08-03T06:25:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,58,C,2026-08-03T08:00:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,63,C,2026-08-03T08:03:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,70,C,2026-08-03T08:06:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,74,C,2026-08-03T08:09:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,76,C,2026-08-03T08:12:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,75,C,2026-08-03T08:15:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,73,C,2026-08-03T08:18:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,71,C,2026-08-03T08:21:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,68,C,2026-08-03T08:24:00+00:00
BATCH-2002,UF-SKID-01,CIP_TEMP,60,C,2026-08-03T08:27:00+00:00
BATCH-2003,UF-SKID-01,TMP,18.3,psi,2026-08-04T06:00:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,49.84,LMH,2026-08-04T06:00:00+00:00
BATCH-2003,UF-SKID-01,COND,1.87,mS/cm,2026-08-04T06:00:00+00:00
BATCH-2003,UF-SKID-01,TMP,18.46,psi,2026-08-04T06:05:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,48.05,LMH,2026-08-04T06:05:00+00:00
BATCH-2003,UF-SKID-01,COND,1.95,mS/cm,2026-08-04T06:05:00+00:00
BATCH-2003,UF-SKID-01,TMP,18.98,psi,2026-08-04T06:10:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,49.96,LMH,2026-08-04T06:10:00+00:00
BATCH-2003,UF-SKID-01,COND,2.02,mS/cm,2026-08-04T06:10:00+00:00
BATCH-2003,UF-SKID-01,TMP,18.37,psi,2026-08-04T06:15:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,50.77,LMH,2026-08-04T06:15:00+00:00
BATCH-2003,UF-SKID-01,COND,2.11,mS/cm,2026-08-04T06:15:00+00:00
BATCH-2003,UF-SKID-01,TMP,17.46,psi,2026-08-04T06:20:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,47.53,LMH,2026-08-04T06:20:00+00:00
BATCH-2003,UF-SKID-01,COND,1.93,mS/cm,2026-08-04T06:20:00+00:00
BATCH-2003,UF-SKID-01,TMP,17.54,psi,2026-08-04T06:25:00+00:00
BATCH-2003,UF-SKID-01,PERMEATE_FLUX,48.24,LMH,2026-08-04T06:25:00+00:00
BATCH-2003,UF-SKID-01,COND,2.18,mS/cm,2026-08-04T06:25:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,58,C,2026-08-04T08:00:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,61,C,2026-08-04T08:03:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,63,C,2026-08-04T08:06:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,62,C,2026-08-04T08:09:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,55,C,2026-08-04T08:12:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,50,C,2026-08-04T08:15:00+00:00
BATCH-2003,UF-SKID-01,CIP_TEMP,48,C,2026-08-04T08:18:00+00:00
BATCH-2004,UF-SKID-01,TMP,18.75,psi,2026-08-05T06:00:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,44.46,LMH,2026-08-05T06:00:00+00:00
BATCH-2004,UF-SKID-01,COND,2.06,mS/cm,2026-08-05T06:00:00+00:00
BATCH-2004,UF-SKID-01,TMP,17.79,psi,2026-08-05T06:05:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,46.86,LMH,2026-08-05T06:05:00+00:00
BATCH-2004,UF-SKID-01,COND,1.98,mS/cm,2026-08-05T06:05:00+00:00
BATCH-2004,UF-SKID-01,TMP,17.53,psi,2026-08-05T06:10:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,44.19,LMH,2026-08-05T06:10:00+00:00
BATCH-2004,UF-SKID-01,COND,2.02,mS/cm,2026-08-05T06:10:00+00:00
BATCH-2004,UF-SKID-01,TMP,17.53,psi,2026-08-05T06:15:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,45.54,LMH,2026-08-05T06:15:00+00:00
BATCH-2004,UF-SKID-01,COND,2.16,mS/cm,2026-08-05T06:15:00+00:00
BATCH-2004,UF-SKID-01,TMP,17.8,psi,2026-08-05T06:20:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,44.08,LMH,2026-08-05T06:20:00+00:00
BATCH-2004,UF-SKID-01,COND,2.2,mS/cm,2026-08-05T06:20:00+00:00
BATCH-2004,UF-SKID-01,TMP,18.02,psi,2026-08-05T06:25:00+00:00
BATCH-2004,UF-SKID-01,PERMEATE_FLUX,43.56,LMH,2026-08-05T06:25:00+00:00
BATCH-2004,UF-SKID-01,COND,1.82,mS/cm,2026-08-05T06:25:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,58,C,2026-08-05T08:00:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,63,C,2026-08-05T08:03:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,70,C,2026-08-05T08:06:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,74,C,2026-08-05T08:09:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,76,C,2026-08-05T08:12:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,75,C,2026-08-05T08:15:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,73,C,2026-08-05T08:18:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,71,C,2026-08-05T08:21:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,68,C,2026-08-05T08:24:00+00:00
BATCH-2004,UF-SKID-01,CIP_TEMP,60,C,2026-08-05T08:27:00+00:00
BATCH-2005,UF-SKID-01,TMP,17.22,psi,2026-08-06T06:00:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,41.51,LMH,2026-08-06T06:00:00+00:00
BATCH-2005,UF-SKID-01,COND,2.12,mS/cm,2026-08-06T06:00:00+00:00
BATCH-2005,UF-SKID-01,TMP,17.84,psi,2026-08-06T06:05:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,39.25,LMH,2026-08-06T06:05:00+00:00
BATCH-2005,UF-SKID-01,COND,1.95,mS/cm,2026-08-06T06:05:00+00:00
BATCH-2005,UF-SKID-01,TMP,18.99,psi,2026-08-06T06:10:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,41.12,LMH,2026-08-06T06:10:00+00:00
BATCH-2005,UF-SKID-01,COND,2.19,mS/cm,2026-08-06T06:10:00+00:00
BATCH-2005,UF-SKID-01,TMP,18.72,psi,2026-08-06T06:15:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,39.05,LMH,2026-08-06T06:15:00+00:00
BATCH-2005,UF-SKID-01,COND,2.09,mS/cm,2026-08-06T06:15:00+00:00
BATCH-2005,UF-SKID-01,TMP,18.36,psi,2026-08-06T06:20:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,41.15,LMH,2026-08-06T06:20:00+00:00
BATCH-2005,UF-SKID-01,COND,1.91,mS/cm,2026-08-06T06:20:00+00:00
BATCH-2005,UF-SKID-01,TMP,18.28,psi,2026-08-06T06:25:00+00:00
BATCH-2005,UF-SKID-01,PERMEATE_FLUX,39.45,LMH,2026-08-06T06:25:00+00:00
BATCH-2005,UF-SKID-01,COND,1.97,mS/cm,2026-08-06T06:25:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,58,C,2026-08-06T08:00:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,63,C,2026-08-06T08:03:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,70,C,2026-08-06T08:06:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,74,C,2026-08-06T08:09:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,76,C,2026-08-06T08:12:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,75,C,2026-08-06T08:15:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,73,C,2026-08-06T08:18:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,71,C,2026-08-06T08:21:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,68,C,2026-08-06T08:24:00+00:00
BATCH-2005,UF-SKID-01,CIP_TEMP,60,C,2026-08-06T08:27:00+00:00
BATCH-3000,CHROM-SKID-02,UV280,1.28,AU,2026-08-01T11:00:00+00:00
BATCH-3000,CHROM-SKID-02,COND,3.77,mS/cm,2026-08-01T11:00:00+00:00
BATCH-3000,CHROM-SKID-02,UV280,1.45,AU,2026-08-01T11:05:00+00:00
BATCH-3000,CHROM-SKID-02,COND,3.36,mS/cm,2026-08-01T11:05:00+00:00
BATCH-3000,CHROM-SKID-02,UV280,1.3,AU,2026-08-01T11:10:00+00:00
BATCH-3000,CHROM-SKID-02,COND,3.31,mS/cm,2026-08-01T11:10:00+00:00
BATCH-3000,CHROM-SKID-02,UV280,1.47,AU,2026-08-01T11:15:00+00:00
BATCH-3000,CHROM-SKID-02,COND,3.72,mS/cm,2026-08-01T11:15:00+00:00
BATCH-3000,CHROM-SKID-02,UV280,1.22,AU,2026-08-01T11:20:00+00:00
BATCH-3000,CHROM-SKID-02,COND,3.58,mS/cm,2026-08-01T11:20:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-01T12:00:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,126,C,2026-08-01T12:03:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,129,C,2026-08-01T12:06:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,130,C,2026-08-01T12:09:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,128,C,2026-08-01T12:12:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,125,C,2026-08-01T12:15:00+00:00
BATCH-3000,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-01T12:18:00+00:00
BATCH-3001,CHROM-SKID-02,UV280,1.34,AU,2026-08-02T11:00:00+00:00
BATCH-3001,CHROM-SKID-02,COND,3.29,mS/cm,2026-08-02T11:00:00+00:00
BATCH-3001,CHROM-SKID-02,UV280,1.41,AU,2026-08-02T11:05:00+00:00
BATCH-3001,CHROM-SKID-02,COND,3.52,mS/cm,2026-08-02T11:05:00+00:00
BATCH-3001,CHROM-SKID-02,UV280,1.41,AU,2026-08-02T11:10:00+00:00
BATCH-3001,CHROM-SKID-02,COND,3.52,mS/cm,2026-08-02T11:10:00+00:00
BATCH-3001,CHROM-SKID-02,UV280,1.1,AU,2026-08-02T11:15:00+00:00
BATCH-3001,CHROM-SKID-02,COND,3.39,mS/cm,2026-08-02T11:15:00+00:00
BATCH-3001,CHROM-SKID-02,UV280,1.11,AU,2026-08-02T11:20:00+00:00
BATCH-3001,CHROM-SKID-02,COND,3.76,mS/cm,2026-08-02T11:20:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-02T12:00:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,126,C,2026-08-02T12:03:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,129,C,2026-08-02T12:06:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,130,C,2026-08-02T12:09:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,128,C,2026-08-02T12:12:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,125,C,2026-08-02T12:15:00+00:00
BATCH-3001,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-02T12:18:00+00:00
BATCH-3002,CHROM-SKID-02,UV280,1.45,AU,2026-08-03T11:00:00+00:00
BATCH-3002,CHROM-SKID-02,COND,3.7,mS/cm,2026-08-03T11:00:00+00:00
BATCH-3002,CHROM-SKID-02,UV280,1.22,AU,2026-08-03T11:05:00+00:00
BATCH-3002,CHROM-SKID-02,COND,3.23,mS/cm,2026-08-03T11:05:00+00:00
BATCH-3002,CHROM-SKID-02,UV280,1.45,AU,2026-08-03T11:10:00+00:00
BATCH-3002,CHROM-SKID-02,COND,3.77,mS/cm,2026-08-03T11:10:00+00:00
BATCH-3002,CHROM-SKID-02,UV280,3.1,AU,2026-08-03T11:15:00+00:00
BATCH-3002,CHROM-SKID-02,COND,3.49,mS/cm,2026-08-03T11:15:00+00:00
BATCH-3002,CHROM-SKID-02,UV280,1.13,AU,2026-08-03T11:20:00+00:00
BATCH-3002,CHROM-SKID-02,COND,3.66,mS/cm,2026-08-03T11:20:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-03T12:00:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,126,C,2026-08-03T12:03:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,129,C,2026-08-03T12:06:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,130,C,2026-08-03T12:09:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,128,C,2026-08-03T12:12:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,125,C,2026-08-03T12:15:00+00:00
BATCH-3002,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-03T12:18:00+00:00
BATCH-3003,CHROM-SKID-02,UV280,1.41,AU,2026-08-04T11:00:00+00:00
BATCH-3003,CHROM-SKID-02,COND,3.28,mS/cm,2026-08-04T11:00:00+00:00
BATCH-3003,CHROM-SKID-02,UV280,1.29,AU,2026-08-04T11:05:00+00:00
BATCH-3003,CHROM-SKID-02,COND,3.53,mS/cm,2026-08-04T11:05:00+00:00
BATCH-3003,CHROM-SKID-02,UV280,1.21,AU,2026-08-04T11:10:00+00:00
BATCH-3003,CHROM-SKID-02,COND,3.72,mS/cm,2026-08-04T11:10:00+00:00
BATCH-3003,CHROM-SKID-02,UV280,1.27,AU,2026-08-04T11:15:00+00:00
BATCH-3003,CHROM-SKID-02,COND,3.33,mS/cm,2026-08-04T11:15:00+00:00
BATCH-3003,CHROM-SKID-02,UV280,1.32,AU,2026-08-04T11:20:00+00:00
BATCH-3003,CHROM-SKID-02,COND,3.64,mS/cm,2026-08-04T11:20:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-04T12:00:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,126,C,2026-08-04T12:03:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,129,C,2026-08-04T12:06:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,130,C,2026-08-04T12:09:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,128,C,2026-08-04T12:12:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,125,C,2026-08-04T12:15:00+00:00
BATCH-3003,CHROM-SKID-02,SIP_TEMP,122,C,2026-08-04T12:18:00+00:00
